Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
Q5SWA1	Q5SWA1		PPP1R15B		3.73416e+06		6.38906e+06	6.28517e+06		8.75083e+06	5.60334e+06	9.80131e+06
Q5SWH9	Q5SWH9		TMEM69		5.12269e+06	7.50437e+06	5.47784e+06	6.93671e+06	1.48171e+07	8.91665e+06	9.14477e+06	1.20621e+07
Q5SWX8	Q5SWX8		ODR4		1.53855e+07	1.73756e+07	1.7564e+07	1.80833e+07	1.635e+07	2.66966e+07	1.69712e+07	2.17949e+07
Q5SXM8	Q5SXM8		DNLZ		4.23339e+06	1.34292e+06	2.3408e+06	531707	5.87502e+06	1.59888e+06	4.81943e+06	2.50846e+06
Q5SY16	Q5SY16		NOL9		3.33826e+06	4.54033e+06	3.83198e+06	5.27006e+06	3.24746e+06	3.74677e+06	3.98775e+06	3.60457e+06
Q5SYE7	Q5SYE7		NHSL1		2.9022e+06	1.95808e+06	2.30127e+06	2.21066e+06	2.00405e+06	2.04358e+06	2.48567e+06	1.8833e+06
Q5SZK8	Q5SZK8		FREM2		390644		362148	324804	362929	522144	440730	435148
Q5T011	Q5T011		SZT2		1.28115e+06	736355	1.26258e+06	916604	1.83499e+06	1.05751e+06	1.24608e+06	806542
Q5T0D9	Q5T0D9		TPRG1L		4.87215e+06	4.74485e+06	5.83945e+06	6.29342e+06	4.81657e+06	6.68416e+06	5.74201e+06	6.14911e+06
Q5T0F9	Q5T0F9		CC2D1B		3.35427e+06	3.41705e+06	3.56405e+06	3.41948e+06	2.71691e+06	4.51834e+06	3.41981e+06	3.98443e+06
Q5T0N5	Q5T0N5		FNBP1L		6.739e+06	5.65218e+06	6.64062e+06	6.59885e+06	6.66069e+06	4.81939e+06	7.3034e+06	5.52289e+06
Q5T160	Q5T160		RARS2		1.04042e+07	6.70822e+06	8.85318e+06	4.11788e+06	1.20238e+07	6.14321e+06	1.05015e+07	7.58622e+06
Q5T1C6	Q5T1C6		THEM4		8.24246e+06	4.94456e+06	7.78585e+06	3.54261e+06	7.49058e+06	4.7318e+06	7.62705e+06	4.62586e+06
Q5T1M5	Q5T1M5		FKBP15		2.47161e+06	2.99569e+06	2.36768e+06	2.68667e+06	3.00761e+06	1.94854e+06	2.32872e+06	2.02565e+06
Q5T1Q4	Q5T1Q4		SLC35F1		885098	502098	1.20885e+06	1.47567e+06	488813	1.08542e+06	628401	690639
Q5T1R4	Q5T1R4		HIVEP3				133369					
Q5T1V6	Q5T1V6		DDX59		1.54041e+06	2.07411e+06	2.00681e+06	2.37079e+06	1.20153e+06	1.51374e+06	1.48083e+06	1.06542e+06
Q5T280	Q5T280		SPOUT1		2.46621e+06	3.5e+06	3.51106e+06	4.25169e+06	2.57092e+06	3.08635e+06	3.68679e+06	2.81077e+06
Q5T2E6	Q5T2E6		ARMH3		8.65778e+06	8.99048e+06	8.29018e+06	7.87048e+06	1.1668e+07	8.29769e+06	1.01217e+07	7.97473e+06
Q5T2R2	Q5T2R2		PDSS1		6.00894e+06	3.72507e+06	5.39983e+06	3.8154e+06	8.3727e+06	1.15952e+07	4.84868e+06	1.22836e+07
Q5T2T1	Q5T2T1		MPP7		1.78979e+07	1.36146e+07	2.10684e+07	1.38706e+07	1.3659e+07	1.85556e+07	1.72583e+07	1.38702e+07
Q5T3F8	Q5T3F8		TMEM63B		5.11154e+06	4.27875e+06	4.99376e+06	5.06038e+06	4.45833e+06	5.09788e+06	4.64216e+06	4.16923e+06
Q5T3I0	Q5T3I0		GPATCH4			1.19075e+06	1.63708e+06	1.49333e+06	953213	1.46225e+06	1.25552e+06	1.38149e+06
Q5T3U5	Q5T3U5		ABCC10		1.50465e+06	1.54648e+06	1.53973e+06	1.13155e+06	1.45803e+06	2.69187e+06	1.25592e+06	3.15603e+06
Q5T440	Q5T440		IBA57		1.96953e+07	1.32106e+07	1.43901e+07	8.92602e+06	2.17213e+07	1.77676e+07	1.7387e+07	1.92903e+07
Q5T447	Q5T447		HECTD3		2.01046e+06	2.90026e+06	2.58254e+06	3.49822e+06	2.40931e+06	2.71285e+06	2.69231e+06	2.86939e+06
Q5T4B2	Q5T4B2		CERCAM		1.24075e+06	357072	1.20877e+06	899705	1.29224e+06	1.98873e+06	1.135e+06	1.89443e+06
Q5T4D3	Q5T4D3		TMTC4		2.72376e+06	2.48819e+06	2.30558e+06	2.06276e+06	3.06731e+06	2.39974e+06	2.21178e+06	2.77025e+06
Q5T4F4	Q5T4F4		ZFYVE27		1.98086e+06	1.72891e+06	1.96649e+06	2.33709e+06	1.52771e+06	2.05966e+06	2.05818e+06	1.98931e+06
Q5T4S7	Q5T4S7		UBR4		1.46211e+07	3.54681e+07	2.72045e+07	3.72056e+07	1.43289e+07	1.95725e+07	2.08399e+07	1.6773e+07
Q5T5C0	Q5T5C0		STXBP5		9.17744e+06	1.1739e+07	1.05779e+07	1.22687e+07	5.8912e+06	8.21304e+06	8.54487e+06	7.21386e+06
Q5T5P2	Q5T5P2		KIAA1217		5.01923e+06	2.70647e+06	3.84733e+06	3.22683e+06	4.35393e+06	2.53883e+06	4.02807e+06	3.07776e+06
Q5T5U3	Q5T5U3		ARHGAP21		3.54679e+06	2.40556e+06	3.15956e+06	2.53484e+06	3.58906e+06	1.73831e+06	3.27588e+06	2.21802e+06
Q5T5X7	Q5T5X7		BEND3		629090	1.22249e+06	794703	1.18125e+06	690598	741375	1.03482e+06	1.09008e+06
Q5T5Y3	Q5T5Y3		CAMSAP1		1.40579e+06	1.41756e+06	1.56465e+06	1.41798e+06	1.57148e+06	742641	1.62687e+06	957231
Q5T653	Q5T653		MRPL2		5.21917e+07	3.97185e+07	4.41709e+07	2.67801e+07	6.31258e+07	4.4701e+07	6.05926e+07	5.66924e+07
Q5T6F2	Q5T6F2		UBAP2		5.07853e+06	6.09583e+06	4.45555e+06	4.35377e+06	6.86057e+06	3.86867e+06	6.81002e+06	5.81249e+06
Q5T6V5	Q5T6V5		QNG1		3.18108e+06	3.94586e+06	3.87662e+06	3.3646e+06	3.39468e+06	3.34786e+06	4.8276e+06	3.63498e+06
Q5T749	Q5T749		KPRP			527897						
Q5T751	Q5T751		LCE1C		534443	110109	758391	1.1832e+06	226207	232985	479719	190544
Q5T7B8	Q5T7B8		KIF24		1.67043e+06	1.42113e+06	1.41432e+06	2.89321e+06	2.99807e+06	1.66777e+06	2.25512e+06	2.76115e+06
Q5T7M9	Q5T7M9		DIPK1A		583302	948232	1.05208e+06	1.13575e+06	1.03873e+06	1.37868e+06	972277	850320
Q5T7V8	Q5T7V8		GORAB		4.6477e+06	4.32045e+06	4.63752e+06	4.0965e+06	4.83523e+06	8.12716e+06	5.2058e+06	8.01261e+06
Q5T8D3	Q5T8D3		ACBD5		1.17975e+07	9.63291e+06	1.16617e+07	8.76971e+06	1.27284e+07	1.41489e+07	1.04522e+07	1.1227e+07
Q5T8I9	Q5T8I9		HENMT1		114522	177347	202395	281033	105455	330822	194892	203308
Q5T8P6	Q5T8P6		RBM26		919926	2.6884e+06	2.12486e+06	3.18144e+06	1.1422e+06	1.17134e+06	2.08456e+06	1.27511e+06
Q5T9A4	Q5T9A4		ATAD3B		3.36881e+07	2.00296e+07	2.432e+07	1.96356e+07	3.2814e+07	4.27315e+07	1.82969e+07	3.51257e+07
Q5T9L3	Q5T9L3		WLS		1.97099e+07	1.35654e+07	2.19308e+07	2.63606e+07	1.23358e+07	3.94736e+07	1.74172e+07	2.58065e+07
Q5TA45	Q5TA45		INTS11		3.29503e+06	1.40496e+07	5.80546e+06	1.45596e+07	4.6623e+06	7.17559e+06	8.0548e+06	6.81862e+06
Q5TA50	Q5TA50		CPTP		1.79845e+06	2.59705e+06	2.12195e+06	2.46436e+06	2.12531e+06	2.3921e+06	2.46178e+06	2.24939e+06
Q5TAQ9	Q5TAQ9		DCAF8		1.68738e+06	1.7772e+06	1.80802e+06	1.63181e+06	1.4749e+06	1.50117e+06	2.01798e+06	1.68887e+06
Q5TAT6	Q5TAT6		COL13A1		2.84211e+07	2.93377e+07	2.95831e+07	3.3656e+07	2.60518e+07	3.70632e+07	2.93995e+07	3.00497e+07
Q5TAX3	Q5TAX3		TUT4		828490	1.09583e+06	1.01709e+06	1.25554e+06	869735	735657	1.03839e+06	622888
Q5TB30	Q5TB30		DEPDC1		225998	332928	222863	307195	333034	319740	303573	
Q5TBB1	Q5TBB1		RNASEH2B		1.69549e+06	2.03475e+06	1.67467e+06	1.73705e+06	2.09646e+06	1.3016e+06	2.72343e+06	1.90893e+06
Q5TC12	Q5TC12		ATPAF1		2.81418e+07	1.62782e+07	3.60102e+07	1.58208e+07	3.84797e+07	2.19716e+07	4.4083e+07	2.40426e+07
Q5TCQ9	Q5TCQ9		MAGI3		287718	262107	299488	198907	305745	176571	361337	349674
Q5TCZ1	Q5TCZ1		SH3PXD2A		6.16963e+06	3.06825e+06	4.88395e+06	3.21974e+06	4.85673e+06	2.76139e+06	4.14338e+06	1.96291e+06
Q5TDH0	Q5TDH0		DDI2		6.28708e+06	1.24508e+07	9.85542e+06	1.54148e+07	6.12688e+06	8.33134e+06	8.19384e+06	7.89348e+06
Q5TEC6	Q5TEC6		H3-7		3.05424e+08	1.2995e+09	6.14596e+08	1.81618e+09	7.29604e+08	5.46668e+08	1.06318e+09	3.88099e+08
Q5TEU4	Q5TEU4		NDUFAF5		6.82704e+06	5.41616e+06	5.09814e+06	2.98789e+06	8.29081e+06	3.83546e+06	8.15928e+06	5.592e+06
Q5TFE4	Q5TFE4		NT5DC1		2.92319e+06	5.68693e+06	4.73215e+06	6.51268e+06	2.686e+06	5.83054e+06	4.68961e+06	4.90618e+06
Q5TGY1	Q5TGY1		TMCO4			2.5981e+06		2.79573e+06	1.34209e+06	2.06313e+06	2.31673e+06	2.3485e+06
Q5TGZ0	Q5TGZ0		MICOS10		2.9696e+07	4.10356e+07	3.52249e+07	4.4974e+07	3.35165e+07	4.36513e+07	4.19476e+07	5.40343e+07
Q5TH69	Q5TH69		ARFGEF3		1.37545e+06	1.62082e+06	1.85274e+06	2.23164e+06	808830	1.3969e+06	1.33165e+06	1.03228e+06
Q5THJ4	Q5THJ4		VPS13D		3.17754e+07	2.0723e+07	2.39976e+07	2.04086e+07	2.03873e+07	1.77667e+07	2.17604e+07	1.71414e+07
Q5TIE3	Q5TIE3		VWA5B1				2.79135e+07					
Q5TZA2	Q5TZA2		CROCC		5.47771e+06	4.35882e+06	4.76079e+06	3.52588e+06	5.39395e+06	2.83759e+06	4.90146e+06	2.58153e+06
Q5U3C3	Q5U3C3		TMEM164		6.21016e+06	1.00126e+07	7.03356e+06	8.73901e+06	9.59802e+06	1.28249e+07	8.52611e+06	1.41558e+07
Q5U4P2	Q5U4P2		ASPHD1		3.61144e+06	2.68858e+06	4.3664e+06	4.61548e+06	4.20361e+06	8.98873e+06	3.5257e+06	4.99556e+06
Q5U5X0	Q5U5X0		LYRM7		3.1211e+07	2.4425e+07	2.45027e+07	8.62699e+06	6.37674e+07	1.66424e+07	5.66829e+07	2.85061e+07
Q5U651	Q5U651		RASIP1		1.39789e+07	7.63284e+06	1.54088e+07	1.28023e+07	7.39724e+06	9.12111e+06	8.04954e+06	7.06203e+06
Q5UCC4	Q5UCC4		EMC10		1.2681e+07	2.72851e+06	1.29229e+07	1.37444e+07	4.11515e+06	1.55028e+07	3.03852e+06	5.78496e+06
Q5UIP0	Q5UIP0		RIF1		920422	3.11055e+06	2.02968e+06	4.86229e+06	1.48838e+06	2.5463e+06	2.13494e+06	1.57535e+06
Q5VIR6	Q5VIR6		VPS53		4.7459e+06	8.13046e+06	6.19651e+06	7.8931e+06	5.47732e+06	5.28143e+06	5.81757e+06	5.36344e+06
Q5VSG8	Q5VSG8		MANEAL		1.37309e+06	1.52612e+06	1.1762e+06	1.05334e+06	2.24702e+06	3.1535e+06	1.4752e+06	2.62658e+06
Q5VSL9	Q5VSL9		STRIP1		7.64863e+06	7.93772e+06	8.13875e+06	9.11951e+06	8.0147e+06	8.02087e+06	8.32421e+06	7.24611e+06
Q5VST6	Q5VST6		ABHD17B		1.75771e+07	1.6496e+07	1.40828e+07	1.35647e+07	1.66527e+07	2.20434e+07	1.91022e+07	2.10215e+07
Q5VST9	Q5VST9		OBSCN		1.72291e+06	1.09974e+06	1.55854e+06	1.21495e+06	1.36964e+06	1.25202e+06	1.28991e+06	1.43798e+06
Q5VT06	Q5VT06		CEP350		2.52826e+06	1.50779e+06	3.06523e+06	1.54071e+06	3.95467e+06	1.80195e+06	2.99105e+06	2.2153e+06
Q5VT25	Q5VT25		CDC42BPA		4.34857e+06	4.5144e+06	4.5796e+06	4.22272e+06	3.89981e+06	3.88794e+06	4.28769e+06	4.26752e+06
Q5VT52	Q5VT52		RPRD2		1.01072e+07	2.25788e+07	1.58625e+07	2.35211e+07	1.26397e+07	1.77723e+07	1.59302e+07	2.07838e+07
Q5VTE6	Q5VTE6		ANGEL2		491120	466896			689627			
Q5VTL8	Q5VTL8		PRPF38B		2.46331e+06	3.18176e+06	3.33854e+06	3.80329e+06	3.32103e+06	2.70463e+06	3.13617e+06	1.76746e+06
Q5VTR2	Q5VTR2		RNF20		2.26834e+06	1.14235e+07	4.99682e+06	1.14385e+07	4.38834e+06	5.59928e+06	5.75003e+06	5.89335e+06
Q5VU97	Q5VU97		CACHD1		4.09702e+06	2.20038e+06	3.58655e+06	2.65428e+06	3.46425e+06	4.20155e+06	3.25963e+06	2.64541e+06
Q5VUB5	Q5VUB5		FAM171A1		4.08069e+06	2.5201e+06	3.223e+06	2.44784e+06	3.40084e+06	3.04549e+06	3.18594e+06	3.12202e+06
Q5VUJ6	Q5VUJ6		LRCH2		1.5123e+06	1.69006e+06	2.31843e+06	2.08865e+06	1.00982e+06	1.50201e+06	1.72482e+06	1.40657e+06
Q5VUM1	Q5VUM1		SDHAF4		1.61421e+06	682506	1.40398e+06	534826	2.02709e+06	392818	1.78977e+06	424029
Q5VV41	Q5VV41		ARHGEF16		6.82688e+06	4.21351e+06	8.49269e+06	6.88172e+06	5.39758e+06	4.87054e+06	5.98222e+06	3.09566e+06
Q5VV42	Q5VV42		CDKAL1		1.92619e+07	1.59551e+07	2.04399e+07	2.01053e+07	1.99929e+07	3.22279e+07	1.92921e+07	2.81394e+07
Q5VVQ6	Q5VVQ6		YOD1		1.2521e+06	3.34761e+06	2.16219e+06	3.55207e+06	969572	2.42159e+06	1.88817e+06	1.61948e+06
Q5VW32	Q5VW32		BROX		4.99485e+06	9.17461e+06	7.54948e+06	9.94013e+06	4.14848e+06	8.76911e+06	5.90567e+06	8.38249e+06
Q5VW36	Q5VW36		FOCAD		5.50698e+06	8.60768e+06	8.68837e+06	1.20253e+07	6.50102e+06	6.94676e+06	7.61595e+06	6.68167e+06
Q5VW38	Q5VW38		GPR107		3.66849e+06	3.31437e+06	4.17658e+06	3.87944e+06	3.17355e+06	5.61536e+06	3.47056e+06	5.36008e+06
Q5VWJ9	Q5VWJ9		SNX30		3.74846e+06	3.83669e+06	4.08676e+06	3.86344e+06	2.91787e+06	3.33579e+06	4.08848e+06	3.26463e+06
Q5VWQ0	Q5VWQ0		RSBN1			744813	730951	1.0238e+06	638620	789720	783680	550113
Q5VWQ8	Q5VWQ8		DAB2IP		671462	711953	707364	807241	809056	818225	623347	740800
Q5VWZ2	Q5VWZ2		LYPLAL1		1.82009e+07	1.59451e+07	1.69213e+07	1.28401e+07	2.86838e+07	9.93508e+06	2.13327e+07	1.2416e+07
Q5VXT5	Q5VXT5		SYPL2		1.01292e+06	537129	1.40691e+06	1.20344e+06	729136	1.41483e+06	1.02759e+06	1.22374e+06
Q5VYK3	Q5VYK3		ECPAS		1.04697e+07	1.63297e+07	1.34987e+07	1.59492e+07	1.10543e+07	1.07342e+07	1.36963e+07	1.16546e+07
Q5VYS8	Q5VYS8		TUT7		1.16779e+07	1.16114e+07	1.19504e+07	1.5445e+07	1.10894e+07	7.36518e+06	9.12833e+06	6.22751e+06
Q5VYY1	Q5VYY1		ANKRD22		4.19842e+06	5.60857e+06	1.06092e+06	481307	4.73882e+06	2.44036e+06	1.11469e+06	2.42359e+06
Q5VZ89	Q5VZ89		DENND4C		5.10025e+06	7.87306e+06	6.78554e+06	7.3889e+06	6.11183e+06	4.16723e+06	7.03275e+06	5.89808e+06
Q5VZE5	Q5VZE5		NAA35		3.51225e+06	5.52645e+06	5.48372e+06	8.1501e+06	3.35562e+06	4.62813e+06	4.87787e+06	4.07519e+06
Q5VZF2	Q5VZF2		MBNL2		710017	536434	686958	452757	669118	454490	850618	884049
Q5VZI3	Q5VZI3		TMEM268		938294	1.20593e+06	1.04435e+06	980906	1.12028e+06	1.35957e+06	1.07313e+06	1.31776e+06
Q5VZK9	Q5VZK9		CARMIL1		4.95268e+06	5.04666e+06	4.71596e+06	6.32634e+06	4.31256e+06	4.82119e+06	4.5339e+06	4.74508e+06
Q5VZL5	Q5VZL5		ZMYM4		1.42117e+06	1.68522e+06	1.18576e+06	2.56433e+06	1.30232e+06	1.12725e+06	1.83308e+06	1.45188e+06
Q5VZM2	Q5VZM2		RRAGB		4.17314e+06	5.29478e+06	4.45185e+06	3.95573e+06	2.84024e+06	4.09321e+06	5.02656e+06	3.49302e+06
Q5W0V3	Q5W0V3		FHIP2A		1.92272e+06	3.17524e+06	3.56697e+06	4.63714e+06	1.65634e+06	2.43944e+06	2.50319e+06	1.51621e+06
Q5W0Z9	Q5W0Z9		ZDHHC20		3.28009e+07	2.25336e+07	3.17828e+07	2.63151e+07	3.25517e+07	4.6437e+07	2.90666e+07	4.1703e+07
Q5W111	Q5W111		SPRYD7		1.06042e+07	9.36399e+06	1.489e+07	1.53511e+07	8.05131e+06	1.70459e+07	1.08591e+07	1.52978e+07
Q5XKK7	Q5XKK7		FAM219B		232836	236273	229982	323018	133493	313315	190517	381930
Q5XKP0	Q5XKP0		MICOS13		6.66337e+07	7.57918e+07	6.92041e+07	5.79309e+07	7.6773e+07	9.62295e+07	7.23814e+07	9.41192e+07
Q5XPI4	Q5XPI4		RNF123		1.47373e+06	2.42703e+06	1.88334e+06	2.87506e+06	1.29386e+06	1.43728e+06	1.84004e+06	1.49785e+06
Q5XXA6	Q5XXA6		ANO1		2.36624e+06	2.47897e+06	2.31793e+06	1.30452e+06	1.4443e+06	2.11229e+06	1.78318e+06	2.16619e+06
Q5ZPR3	Q5ZPR3		CD276		3.71709e+07	2.15865e+07	3.02755e+07	2.74276e+07	3.30879e+07	3.35021e+07	2.3986e+07	2.37441e+07
Q63HK5	Q63HK5		TSHZ3		31433.6	167041	47554.2	151599	59414.9	81643.6	65504.6	61698
Q63HN8	Q63HN8		RNF213		2.75338e+06	3.71702e+06	2.71679e+06	3.32766e+06	2.57271e+06	2.52603e+06	2.43776e+06	2.43039e+06
Q63HQ0	Q63HQ0		AP1AR			3.34153e+06	3.22748e+06	2.97852e+06	3.1248e+06	4.35663e+06	3.37184e+06	5.05968e+06
Q63ZY3	Q63ZY3		KANK2		2.71e+06	3.83835e+06	2.28186e+06	1.76086e+06	3.20663e+06	2.5123e+06	3.5153e+06	3.27751e+06
Q641Q2	Q641Q2		WASHC2A		439415	456765	385442	350867	440488	338791	421909	416219
Q643R3	Q643R3		LPCAT4		3.33329e+07	2.08608e+07	4.14939e+07	4.29262e+07	2.59572e+07	5.17856e+07	3.00021e+07	3.04142e+07
Q658P3	Q658P3		STEAP3		8.19607e+07	4.59782e+07	6.32578e+07	8.16217e+07	5.35247e+07	7.75949e+07	5.55062e+07	6.53922e+07
Q658Y4	Q658Y4		FAM91A1		7.72761e+06	9.76207e+06	9.34774e+06	1.03226e+07	8.69428e+06	9.813e+06	1.01881e+07	9.91443e+06
Q66GS9	Q66GS9		CEP135		4.42346e+06	3.92291e+06	5.10364e+06	4.47812e+06	5.59964e+06	4.84793e+06	4.46575e+06	4.1467e+06
Q66K14	Q66K14		TBC1D9B		5.45571e+06	9.87641e+06	7.53408e+06	9.7171e+06	6.96334e+06	5.22191e+06	7.72823e+06	5.76019e+06
Q66K74	Q66K74		MAP1S		1.01426e+07	1.09243e+07	1.23415e+07	1.30514e+07	1.33289e+07	5.92011e+06	1.2989e+07	5.8868e+06
Q66LE6	Q66LE6		PPP2R2D		932206	1.99189e+06	1.48491e+06	1.84109e+06	856416	1.5937e+06	1.52826e+06	1.83056e+06
Q66PJ3	Q66PJ3		ARL6IP4		1.63869e+06	2.12798e+06	2.12698e+06	1.66163e+06	2.24703e+06	2.2228e+06	2.14635e+06	3.09665e+06
Q674X7	Q674X7		KAZN		706182	559315	762526	729399	890959	584695	643428	463713
Q676U5	Q676U5		ATG16L1		1.23463e+07	1.80357e+07	1.88695e+07	1.99344e+07	1.1556e+07	1.40673e+07	1.49851e+07	1.34037e+07
Q68CP4	Q68CP4		HGSNAT		2.84439e+06	2.17771e+06	1.95593e+06	1.62242e+06	4.6846e+06	2.47301e+06	2.73421e+06	4.0009e+06
Q68CP9	Q68CP9		ARID2		2.07593e+06	3.11322e+06	2.54384e+06	3.92527e+06	3.05806e+06	2.41851e+06	3.25e+06	2.85034e+06
Q68CQ7	Q68CQ7		GLT8D1		1.11772e+07	1.48127e+07	1.51547e+07	1.76025e+07	1.70126e+07	1.92632e+07	1.7365e+07	1.69562e+07
Q68CR1	Q68CR1		SEL1L3		5.55392e+06	4.48308e+06	5.37521e+06	4.42203e+06	4.7458e+06	6.55377e+06	4.58891e+06	5.35525e+06
Q68CZ1	Q68CZ1		RPGRIP1L		2.39802e+06	3.11231e+06	3.03004e+06	3.39023e+06	3.67533e+06	4.51073e+06	3.1332e+06	4.71292e+06
Q68CZ2	Q68CZ2		TNS3		2.67518e+07	2.59533e+07	2.03756e+07	1.7192e+07	2.68846e+07	1.85331e+07	1.91611e+07	2.27168e+07
Q68CZ6	Q68CZ6		HAUS3		2.11451e+06	3.01652e+06	2.3634e+06	2.68118e+06	2.63375e+06	1.94197e+06	2.42295e+06	2.0384e+06
Q68D85	Q68D85		NCR3LG1		2.14158e+06	1.61758e+06	2.49848e+06	2.13694e+06	1.91758e+06	4.08141e+06	2.2264e+06	3.32555e+06
Q68D91	Q68D91		MBLAC2		2.06734e+07	2.09181e+07	1.88588e+07	1.96665e+07	2.26587e+07	2.73126e+07	2.36572e+07	3.13487e+07
Q68DH5	Q68DH5		LMBRD2		3.19887e+06	4.10559e+06	3.51537e+06	3.93279e+06	3.25172e+06	4.21781e+06	4.41934e+06	4.8115e+06
Q68DK2	Q68DK2		ZFYVE26		2.2807e+06	2.02738e+06	1.951e+06	1.7504e+06	2.69985e+06	2.33363e+06	2.13796e+06	2.12131e+06
Q68DQ2	Q68DQ2		CRYBG3		5.01012e+06	4.43368e+06	5.47998e+06	4.55414e+06	5.58473e+06	5.57306e+06	4.78997e+06	4.85323e+06
Q68E01	Q68E01		INTS3		2.54765e+06	9.34049e+06	4.9234e+06	1.09458e+07	3.45269e+06	5.94143e+06	5.5177e+06	5.42339e+06
Q68EM7	Q68EM7		ARHGAP17		7.49209e+06	9.72294e+06	8.7656e+06	1.01559e+07	8.83576e+06	7.67244e+06	9.45562e+06	7.89653e+06
Q69YH5	Q69YH5		CDCA2		346620	417027	394993	460744	584177	276938	539612	573854
Q69YL0	Q69YL0		NCBP2AS2		1.60694e+07	1.43987e+07	9.94588e+06	9.06495e+06	3.4884e+07	1.867e+07	1.6847e+07	1.78344e+07
Q69YN2	Q69YN2		CWF19L1		1.61227e+06	4.4497e+06	3.19426e+06	5.58997e+06	1.91715e+06	3.05072e+06	3.04e+06	2.7712e+06
Q69YN4	Q69YN4		VIRMA		2.9399e+06	4.89959e+06	4.53919e+06	7.05531e+06	3.77601e+06	4.32214e+06	4.76992e+06	4.20285e+06
Q69YQ0	Q69YQ0		SPECC1L		4.53804e+06	4.76487e+06	5.32177e+06	2.99742e+06	5.05225e+06	3.71679e+06	4.65891e+06	4.41702e+06
Q69YU5	Q69YU5		UQCC6		1.85436e+06	3.13842e+06	1.62838e+06	2.09233e+06	3.6833e+06	2.98581e+06	2.77582e+06	2.93203e+06
Q6AI08	Q6AI08		HEATR6		1.6065e+06	2.04307e+06	2.23131e+06	2.70054e+06	1.69684e+06	1.62132e+06	2.05028e+06	1.49076e+06
Q6AZY7	Q6AZY7		SCARA3		3.21965e+06	3.06241e+06	2.84369e+06	4.10815e+06	3.24522e+06	8.38222e+06	3.95672e+06	1.11446e+07
Q6BCY4	Q6BCY4		CYB5R2		807613	1.7881e+06	816478	1.02143e+06	732135	724254	903122	889493
Q6BDS2	Q6BDS2		BLTP3A		970231	1.59284e+06	1.18831e+06	1.57002e+06	987863	904182	1.17003e+06	1.02216e+06
Q6DD87	Q6DD87		ZNF787		592435	1.74014e+06	1.53112e+06	2.27058e+06	1.23892e+06	1.23803e+06	2.12542e+06	1.19553e+06
Q6DD88	Q6DD88		ATL3		3.13453e+07	3.82286e+07	3.91621e+07	4.64928e+07	3.94691e+07	6.46638e+07	4.61087e+07	6.39125e+07
Q6DKI1	Q6DKI1		RPL7L1		908374	2.2185e+06	1.38397e+06	2.03441e+06	1.32947e+06	1.5121e+06	1.80341e+06	1.2554e+06
Q6DKJ4	Q6DKJ4		NXN		1.45353e+06	2.61022e+06	2.19852e+06	2.26438e+06	1.95347e+06	1.81394e+06	2.86166e+06	2.29081e+06
Q6DKK2	Q6DKK2		TTC19		1.16693e+07	8.36004e+06	9.5743e+06	5.33944e+06	1.33842e+07	5.79406e+06	1.28322e+07	6.05246e+06
Q6DN12	Q6DN12		MCTP2		2.32781e+06	2.10611e+06	1.93049e+06	1.79808e+06	2.15553e+06	2.2144e+06	1.6387e+06	1.82881e+06
Q6DN90	Q6DN90		IQSEC1		1.34359e+06	1.1409e+06	1.09248e+06	919704	1.39951e+06	1.32048e+06	1.36996e+06	1.533e+06
Q6E0U4	Q6E0U4		DMKN			2.97555e+06						
Q6EMB2	Q6EMB2		TTLL5		129517	80684	98766.3	112415	154337	173519	130500	158689
Q6EMK4	Q6EMK4		VASN		280573	214649	244215	137041	129296	275000		183348
Q6F5E8	Q6F5E8		CARMIL2		1.71251e+06	2.05967e+06	2.13109e+06	1.67353e+06	2.40866e+06	1.37731e+06	2.8444e+06	1.47027e+06
Q6FI81	Q6FI81		CIAPIN1		1.4026e+07	2.20893e+07	2.42899e+07	3.521e+07	1.53043e+07	2.67441e+07	2.08409e+07	1.97198e+07
Q6FIF0	Q6FIF0		ZFAND6		213385	142008	161754	167835	210588	124879	155526	98572.9
Q6GMV2	Q6GMV2		SMYD5		1.87117e+06	1.42625e+06	2.18622e+06	1.4388e+06	1.02921e+06	1.86136e+06	2.41408e+06	1.7613e+06
Q6GMV3	Q6GMV3		PTRHD1		3.46118e+06	2.57688e+06	2.56953e+06	1.90048e+06	3.39267e+06	2.52975e+06	3.20766e+06	2.86126e+06
Q6GPH6	Q6GPH6		ITPRIPL1		613892	476816	685799	542066	563733	1.00058e+06	429902	674184
Q6GQQ9	Q6GQQ9		OTUD7B		2.8083e+07	3.19106e+07	3.67936e+07	3.88198e+07	3.29881e+07	3.10116e+07	3.81369e+07	2.75761e+07
Q6GYQ0	Q6GYQ0		RALGAPA1		2.02741e+06	2.6717e+06	2.88628e+06	3.20612e+06	1.95371e+06	1.82212e+06	2.22915e+06	1.63984e+06
