Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
P55145	P55145		MANF		1.2493e+08	7.97256e+07	9.93301e+07	1.05382e+08	1.65847e+08	1.13995e+08	9.55299e+07	7.98698e+07
P55196	P55196		AFDN		1.99151e+07	1.33521e+07	2.07094e+07	1.79168e+07	1.41939e+07	1.5283e+07	1.57473e+07	1.19392e+07
P55199	P55199		ELL		275367	773312	299029	476858	269118	331025	331774	392718
P55209	P55209		NAP1L1		3.11649e+07	2.87446e+07	3.67315e+07	3.35161e+07	3.26522e+07	4.07282e+07	3.99856e+07	4.82794e+07
P55210	P55210		CASP7		5.84132e+06	5.6835e+06	6.26947e+06	6.25525e+06	4.47305e+06	6.38365e+06	5.27104e+06	5.31616e+06
P55211	P55211		CASP9		926975	1.62719e+06	1.55523e+06	2.04697e+06	949645	1.5531e+06	1.41862e+06	1.18798e+06
P55212	P55212		CASP6		453790	539603	415081	667187	379936	440174	534253	456022
P55263	P55263		ADK		1.86403e+07	2.60667e+07	2.32229e+07	2.31803e+07	1.7175e+07	2.6363e+07	2.58996e+07	2.43073e+07
P55265	P55265		ADAR		2.59069e+06	3.26062e+06	3.71866e+06	5.33728e+06	2.77521e+06	2.90834e+06	3.56333e+06	2.57128e+06
P55268	P55268		LAMB2		6.91865e+06	2.12762e+06	4.32382e+06	3.09551e+06	4.22841e+06	5.17355e+06	3.78138e+06	4.27507e+06
P55283	P55283		CDH4		1.97248e+06	1.62366e+06		1.66333e+06	1.22689e+06	1.56473e+06	1.51925e+06	2.01352e+06
P55285	P55285		CDH6		4.93132e+06	2.73801e+06	3.91464e+06	2.5726e+06	4.49284e+06	2.97647e+06	3.57363e+06	3.82583e+06
P55287	P55287		CDH11		1.03261e+07	1.18144e+07	1.0729e+07	7.81724e+06	1.19917e+07	1.32877e+07	1.33195e+07	1.69203e+07
P55290	P55290		CDH13		1.75214e+07	1.09272e+07	1.57431e+07	1.33873e+07	2.07532e+07	1.34716e+07	1.3856e+07	1.04739e+07
P55327	P55327		TPD52		2.07866e+07	1.84728e+07	2.16781e+07	1.94196e+07	2.22571e+07	1.71943e+07	2.26441e+07	1.20964e+07
P55735	P55735		SEC13		8.62228e+06	1.10644e+07	9.75079e+06	1.01836e+07	1.15482e+07	8.26417e+06	1.32892e+07	1.04648e+07
P55769	P55769		SNU13		6.0062e+06	1.44098e+07	1.01943e+07	1.58584e+07	9.87045e+06	7.07035e+06	1.11032e+07	6.69536e+06
P55786	P55786		NPEPPS		1.44873e+07	1.6274e+07	1.28347e+07	7.98787e+06	1.36989e+07	9.20975e+06	1.44438e+07	9.17267e+06
P55789	P55789		GFER		1.23975e+07	8.65574e+06	9.72722e+06	4.56326e+06	1.94859e+07	5.99352e+06	1.29075e+07	6.2879e+06
P55795	P55795		HNRNPH2		9.67022e+06	1.84008e+07	1.25619e+07	1.84034e+07	1.08729e+07	8.80756e+06	1.42792e+07	9.65796e+06
P55809	P55809		OXCT1		1.09347e+08	5.88559e+07	8.89844e+07	2.5124e+07	1.36391e+08	3.84584e+07	1.27361e+08	5.31571e+07
P55854	P55854		SUMO3		551220	1.11546e+06	886279	1.05131e+06	502340	698279	935187	474637
P55884	P55884		EIF3B		2.60925e+07	4.12324e+07	3.6405e+07	4.55898e+07	2.55601e+07	3.2203e+07	3.31784e+07	3.13462e+07
P55899	P55899		FCGRT		1.99517e+06	3.30725e+06	2.63533e+06	2.90447e+06	1.71674e+06	2.63667e+06	2.74705e+06	2.76578e+06
P55957	P55957		BID		6.72375e+06	1.32724e+07	1.28561e+07	1.86277e+07	9.53768e+06	9.6667e+06	1.07439e+07	8.11153e+06
P56134	P56134		ATP5MF		5.49636e+08	6.16601e+08	5.78956e+08	6.6113e+08	5.57606e+08	9.10011e+08	6.01384e+08	8.30001e+08
P56159	P56159		GFRA1		674638	177104	464601	270751	549974	458704	444801	326201
P56177	P56177		DLX1			1.11288e+06	1.07922e+06	920847		933517		886450
P56181	P56181		NDUFV3		1.62902e+07	1.32437e+07	1.3656e+07	1.30037e+07	1.6728e+07	9.58433e+06	1.47407e+07	9.07341e+06
P56182	P56182		RRP1		1.19066e+07	9.89976e+06	1.17106e+07	9.71862e+06	6.61644e+06	1.52397e+07	1.1005e+07	1.7227e+07
P56192	P56192		MARS1		1.20571e+08	1.11963e+08	1.05783e+08	9.19817e+07	1.37502e+08	5.9705e+07	1.24354e+08	7.26713e+07
P56199	P56199		ITGA1		2.52974e+07	3.05383e+07	1.84113e+07	2.12403e+07	3.45782e+07	2.64723e+07	2.64042e+07	3.66294e+07
P56270	P56270		MAZ		358203	740285	553864	1.02831e+06	521718	593666	712753	484146
P56277	P56277		CMC4		6.1303e+06	4.41677e+06	3.82756e+06	2.52784e+06	8.26774e+06	3.30689e+06	5.9659e+06	4.5575e+06
P56282	P56282		POLE2		972679	1.44716e+06	1.24025e+06	1.93702e+06	713575	1.78154e+06	1.35249e+06	972894
P56377	P56377		AP1S2		3.0985e+06	2.91406e+06	2.86476e+06	2.85288e+06	2.57201e+06	3.38893e+06	2.55129e+06	3.05997e+06
P56378	P56378		ATP5MJ		8.97776e+07	9.92019e+07	9.21302e+07	9.06181e+07	9.53919e+07	1.42873e+08	9.82879e+07	9.50577e+07
P56381	P56381		ATP5F1E		1.76246e+08	2.05418e+08	1.68247e+08	1.87769e+08	2.57579e+08	2.6971e+08	2.44923e+08	3.93958e+08
P56385	P56385		ATP5ME		2.19965e+08	2.6173e+08	2.24178e+08	2.55485e+08	2.40178e+08	3.63496e+08	2.70863e+08	3.41331e+08
P56524	P56524		HDAC4		2.06686e+06	3.9928e+06	2.21044e+06	2.38255e+06	3.30355e+06	1.71317e+06	2.99669e+06	2.71384e+06
P56537	P56537		EIF6		2.75868e+07	3.94195e+07	3.10999e+07	3.14465e+07	2.58701e+07	3.01759e+07	3.72531e+07	3.01563e+07
P56545	P56545		CTBP2		4.77792e+06	1.23946e+07	8.86117e+06	1.66769e+07	7.33595e+06	1.00567e+07	9.05534e+06	9.61949e+06
P56556	P56556		NDUFA6		2.85182e+07	2.23289e+07	2.74634e+07	2.74093e+07	2.59617e+07	3.45862e+07	2.38019e+07	2.57744e+07
P56559	P56559		ARL4C		6.29648e+06	4.18691e+06	3.27159e+06	2.78881e+06	6.63618e+06	2.71705e+06	4.014e+06	3.8008e+06
P56589	P56589		PEX3		7.34223e+06	9.19348e+06	7.7352e+06	7.73229e+06	8.80144e+06	1.45804e+07	8.52984e+06	1.2436e+07
P56706	P56706		WNT7B		1.12436e+06	732636	1.06436e+06	1.24282e+06	1.28965e+06	1.57935e+06	1.04055e+06	1.25086e+06
P56937	P56937		HSD17B7		2.37409e+07	2.12346e+07	2.06168e+07	2.27501e+07	2.20414e+07	3.03261e+07	2.15767e+07	2.8539e+07
P56945	P56945		BCAR1		5.69372e+06	7.26207e+06	7.73858e+06	9.52453e+06	4.3874e+06	6.68611e+06	6.99676e+06	5.81338e+06
P56962	P56962		STX17		1.87294e+06	1.99419e+06	1.96094e+06	1.78705e+06	2.87592e+06	2.29729e+06	2.77708e+06	3.14162e+06
P57076	P57076		CFAP298		5.67694e+06	8.50724e+06	6.29355e+06	6.79419e+06	7.9979e+06	5.31412e+06	7.33311e+06	5.80933e+06
P57078	P57078		RIPK4		3.79352e+06	2.0391e+06	3.01145e+06	2.67665e+06	3.1781e+06	2.14941e+06	2.392e+06	1.9911e+06
P57087	P57087		JAM2		2.02786e+07	1.57497e+07	2.02857e+07	1.72551e+07	2.13828e+07	2.44648e+07	1.80115e+07	2.20792e+07
P57088	P57088		TMEM33		1.2723e+08	1.3802e+08	1.57077e+08	1.58484e+08	1.14163e+08	2.53955e+08	1.55191e+08	2.33936e+08
P57105	P57105		SYNJ2BP		1.33727e+08	1.13766e+08	1.2156e+08	1.17993e+08	1.11045e+08	1.69604e+08	1.22749e+08	1.66884e+08
P57678	P57678		GEMIN4		2.96711e+07	4.89702e+07	5.00673e+07	6.37997e+07	3.75957e+07	3.986e+07	4.9265e+07	3.77475e+07
P57721	P57721		PCBP3		1.48423e+07	2.0245e+07	2.07656e+07	2.49127e+07	1.63874e+07	1.45266e+07	2.36067e+07	1.20035e+07
P57729	P57729		RAB38		2.82566e+06	4.22837e+06	3.73332e+06	3.95477e+06	3.88079e+06	5.77318e+06	4.08019e+06	4.16793e+06
P57730	P57730		CARD18			962767						
P57735	P57735		RAB25			1.06432e+06						
P57737	P57737		CORO7		1.73556e+07	1.43352e+07	1.89728e+07	2.34364e+07	1.04469e+07	1.5149e+07	1.36085e+07	1.18193e+07
P57740	P57740		NUP107		1.1743e+07	1.85304e+07	1.41688e+07	1.59351e+07	2.19532e+07	1.1247e+07	2.35107e+07	1.40241e+07
P57764	P57764		GSDMD		1.64836e+07	2.59984e+07	2.84879e+07	3.67149e+07	1.97208e+07	2.11478e+07	2.42247e+07	1.86479e+07
P57768	P57768		SNX16		3.42067e+06	2.22357e+06	3.64066e+06	1.43225e+06	4.747e+06	2.88524e+06	4.09752e+06	2.85776e+06
P57772	P57772		EEFSEC		7.33143e+06	7.68726e+06	7.15268e+06	8.22423e+06	7.2299e+06	6.48613e+06	7.0914e+06	6.79011e+06
P57789	P57789		KCNK10		383838	605873	444723	668082	495032	373329	548294	339783
P58004	P58004		SESN2		1.90431e+06	3.55479e+06	2.85891e+06	3.47435e+06	2.07308e+06	2.00201e+06	2.63247e+06	2.13396e+06
P58107	P58107		EPPK1		2.14426e+07	7.4325e+07	3.37799e+07	3.94778e+07	2.70305e+07	1.97903e+07	2.38045e+07	2.9857e+07
P58180	P58180		OR4D2		2.04875e+06	2.27427e+06	2.2544e+06	2.26332e+06	1.84686e+06	2.32409e+06	2.18314e+06	1.71704e+06
P58335	P58335		ANTXR2		1.5926e+07	1.83951e+07	2.01342e+07	1.88022e+07	1.61767e+07	2.12268e+07	2.08261e+07	2.12527e+07
P58397	P58397		ADAMTS12		1.87042e+06	1.30725e+06	1.33933e+06	1.03469e+06	3.2776e+06	1.57724e+06	1.61754e+06	1.6718e+06
P58511	P58511		SMIM11		1.78729e+06	3.37179e+06	2.27564e+06	2.49341e+06	1.5986e+06	3.01718e+06	2.91835e+06	4.85094e+06
P58546	P58546		MTPN		1.69936e+07	1.86068e+07	1.82162e+07	1.46599e+07	1.58402e+07	1.52713e+07	2.24663e+07	1.78186e+07
P58557	P58557		YBEY		5.57293e+06	3.61417e+06	4.08698e+06	2.39462e+06	7.44351e+06	3.17199e+06	5.10897e+06	5.71003e+06
P59190	P59190		RAB15		406846	329690	370574	323732	650018	791967	407359	632778
P59768	P59768		GNG2		8.02988e+06	5.52897e+06	4.45147e+06	3.52668e+06	1.20219e+07	4.23641e+06	5.00793e+06	7.62248e+06
P59780	P59780		AP3S2		5.04145e+06	6.10843e+06	6.20462e+06	5.93294e+06	4.85721e+06	5.43867e+06	4.92071e+06	4.08108e+06
